source_type,source_id,parent_id,source_guid,Name,SEName,Description,Summary,SETitle,SEDescription,SEKeywords,DisplayOrder,Published
category,37,1,AE982D21-EF4F-43A5-90CF-5F5E7713C536,Color Diamond Plates Trophies,color-diamond-plates-trophies,,,Color Diamond Plate Trophies,Color Diamond Plate Trophies feature trophies that either hang on the wall or site on a desk with included stand.  Free persoanlization.,Color Diamond Plate Trophies,1,0
category,41,1,54251EBF-9A3F-4136-B86A-903BCD0057EC,Trophy Cup Trophies,trophy-cup-trophies,,,Trophy Cup Trophies,,Trophy Cup Trophies ,1,0
category,43,1,EF6BB755-3B37-4604-8862-F723A22AF684,Corporate Gift Set Awards,corporate-gift-set-awards,,,Personalized Corporate Gift Set Awards,,Corporate Gift Set Awards,1,1
category,44,1,FF7A5A02-0AFF-4BB3-A1A6-585B4147A750,Monster Trophies ,monster-trophies,,,Monster Trophies,Monster Trophies for the beast in your organization.  Choose from various sports and events or make your own.   Free shipping and personalization.  Easy to order.  Rush service. ,Monster Trophies,1,1
category,45,1,AFCE8F58-2023-46A1-9193-82C7FCCC1858,Live Action Trophies,live-action-trophies,,,Live Action Trophies,Live Action Trophies feature innovative design and are perfect for any recognition event.  In silver & gold finish and made of resin.  Free personalization included.,Live Action Trophies,1,1
category,51,1,9A8D6290-E952-43CE-BA90-6669CA39294E,Centurion Trophies,centurion-trophies,,,Centurion Trophies ,,Centurion Trophies ,1,1
category,52,1,2B376D1E-8FA0-47CE-B178-B68115F8BE10,Gold Star Trophies,gold-star-trophies,,,Gold Star Trophies,,Gold Star Trophies,1,0
category,53,1,48303002-3588-495F-8204-219EB0FD0DDE,Mercury Silver Resin Trophies,mercury-silver-resin-trophies,,,Mercury Silver Resin Trophies,,Mercury Silver Resin Trophies,1,0
category,55,1,5D838F9A-11CF-440B-8F45-1AA3BE95AA58,Funny/Joke Trophies,funnyjoke-trophies,,,Funny Trophies | Joke Trophies | Gag Awards,"Funny Trophies for last place, biggest loser, or someone without a good sense of humor.  Free text and fast delivery.","Funny Trophies, Joke Trophies, Gag Awards",1,1
category,56,1,55EE0C47-5D30-4BE3-AA37-299820B1CF37,Elite Resin Trophies,elite-resin-trophies,,,Elite Resin Trophies,,Elite Resin Trophies,1,0
category,57,1,F611DAE7-6686-4613-A4C4-059483D2A795,Cup Trophies ,cup-trophies,,,Cup Trophies | Trophy Cups | Crystal Trophy Cups | Metal Cup Trophies ,"Cup Trophies, Trophy Cups, Crystal Trophy Cups available in silver, gold, crystal, and in varying sizes and price points.  Free personalization included.","Cup Trophies, Trophy Cups, Crystal Trophy Cups, Metal Trophy Cups",1,1
category,61,2,58F4F41B-42E9-4C56-B93A-13A0A273524C,Insert Medals,insert-medals,,,Insert Medals,"2.75"" Insert Medals feature colorful designs and are available across many sports & events.  Free personalization included on the back.",Insert Medals,1,1
category,62,2,B35C42E1-AC9C-47DE-8AE9-FED1F2E4BBEF,XR Medals,xr-medals,"<span style=""font-size: 18px; color: #ff0000;""><strong>XR MEDALS ARE BEING CLOSED OUT SO QUANTITIES ARE LIMITED<br />
</strong></span><br />
Please take a look at our&nbsp;<a href=""https://www.trophypartner.com/c-400-wreath-medals.aspx"" title=""Wreath Medal Series"">wreath medal series</a>&nbsp;for alternatives.",,XR Medals,"XR Medals feature a classic medal design and come in a 2"" diameter size.  Free personalization included on the back.",XR Medals,1,1
category,63,2,BD88F90C-F8FB-414E-A5C8-F60FECD2D13C,Die Cast Medals  ,die-cast-medals,"<span style=""font-size: 18px; color: #ff0000;""><strong>DIE CAST MEDALS ARE BEING CLOSED OUT SO QUANTITIES ARE LIMITED<br />
</strong></span><br />
Please take a look at our&nbsp;<a href=""https://www.trophypartner.com/c-400-wreath-medals.aspx"" title=""Wreath Medal Series"">wreath medal series</a>&nbsp;for alternatives.",,Die Cast Medals,"Die Cast Medals feature a classic look at an affordable price.  This 2.25"" medal includes free personalization across the back and is available across many sports & events.",Die Cast Medals  ,1,1
category,64,2,3D7B972B-8F8E-4CDB-801E-A0A24BDE556C,"1st, 2nd, & 3rd Color Medals  ",1st-2nd-3rd-color-medals,,,"1st, 2nd, & 3rd Color Place Medals ","1st, 2nd, & 3rd Color Place Medals with free personalization.","1st, 2nd, & 3rd Color Place Medals",1,1
category,65,2,45649B28-B023-4E4C-9C30-D23197BE90C8,Custom Medals & Dog Tags,custom-medals-dog-tags,"Custom Award Medals make a memorable keepsake and can be surprisingly
affordable versus a stock medal product.&nbsp; TrophyPartner.com offers
custom insert medals, custom die cast medals, custom dog tags, and custom belt buckles in a
variety of shapes and sizes.&nbsp; <br />
<br />
Custom award medals and dog tags are great for races, fundraising events, sporting
events, scholastic events, and many other activities.&nbsp; We can
personalize your medal to bring a sense of style to your event.&nbsp;<br />
<br />
<a href=""mailto:info@trophypartner.com"" title=""Email us"">Send us</a> your artwork, budget and details of your event and let us come up with something that you will be proud to present to the recipients of your event.",,Custom Medals & Dogtags,Design your own custom insert medal or dogtag or choose from 1000's of stock designs and add your own text.  A truly unqiue medal.,"Custom Medals, Make your Own Medals, Custom Dogtags",1,1
category,66,2,18F170B0-3AB1-458E-9487-385F7183503B,Key Chain Medals,key-chain-medals,,,Key Chain Medals,,Key Chain Medals,1,1
category,68,2,9F72BCC8-A859-4381-A4A4-D819FF4B5FAE,Mascot Medals,mascot-medals,"Mascot Award Medals make the perfect option to recognize your school spirit.&nbsp; We offer Bulldog, Pirate, Ram, Tiger, Lion, Eagles, Panthers, and Cougar award medals so you can truly show your school spirit.&nbsp;&nbsp;<br />
<br />
Each award medal features the option to add artwork and text to the back.&nbsp;&nbsp;",,Mascot Medals,Mascot Medals feature colorful designs and are great for schools or teams.  Free perosnalization included on the back.,Mascot Medals,1,1
category,69,2,0E7367C9-A118-4AA1-8D9A-9FDEA541D22F,Star Color Enamel Medals,star-color-enamel-medals,,,Star Color Enamel Medals,Star Color Enamel Medals feature provide a unique award medal. Each medal is color enamel filled and includes free personalization.,"Star Color Enamel Medals, Medals",1,0
category,70,2,D93774F7-BF2E-4A03-B0F9-AA3CDEC9D14B,"1st, 2nd, & 3rd Place Medals",1st-2nd-3rd-place-medals,,,"1st Place Medals, 2nd Place Medals","1st, 2nd, & 3rd Place Medals with free pesonalization.","1st, 2nd, & 3rd Place Medals",1,1
